BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Perumbavoor - PERUMBAVOOR  AM ROAD, PERUMBAVOOR, PIN:683 542",,,,,,," 0484 2526331, 8606967102", POULOSE -9446508314,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES LG SHOP - PERUMBAVOOR  AM ROAD, PERUMBAVOOR, PIN:683 542",,,,,,," 0484 2592642, 8606967104", POULOSE -9446508314,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES DIGIPARK - PERUMBAVOOR  OPP: LAKSHMI HOSPITAL, A M ROAD, PERUMBAVOOR, PIN:683 542",,,,,,," 0484 2595901, 8606967105", BIJU MATHEW -9447726329,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - KOTHAMANGALAM  BASIL JN, KOTHAMANGALAM, PIN: 686 691",,,,,,, , ROY PAUL -9447726327,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Warehouse, Edappally - EDAPPALLYPITTAPPILLIL AGENCIES WAREHOUSE & DISTRIBUTION, TOLL JN, EDAPPALLY, PIN: 682 024",,,,,,, , SUMESH -9447795330,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Fan house,edappally - EDAPPALLYPITTAPPILLIL AGENCIES FAN HOUSE, OPPOSITE ST.GEORGE CHURCH, EDAPPALLY, PIN: 682 024",,,,,,," 0484 2343040, 9747013014", SAJEEVAN -9747013014,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Edappally - EDAPPALLYPITTAPPILLIL AGENCIES-DIGI PARK, TOLL JN. EDAPPALLY, PIN: 682 024",,,,,,," 0484 2551992, 9446009877", Shijo Varghese -9446261056,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Ettumanoor - ETTUMANOORPITTAPPILLIL AGENCIES, M.C ROAD ETTUMANOOR, PIN: 686 631",,,,,,," 0481 2534360, 8606967114", KOCHUMON -9446004596,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - PALAOPP: KSEB OFFICE, PALA, PIN: 686 575",,,,,,," 0484 2216622, 8606967113", SIJO -9446009882,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - KOTTAYAMSH MOUNT, NAGAMPADAM, KOTTAYAM, PIN: 686 006",,,,,,, , KURUVILA -9947935500,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - THIRUVALLAPERUMTHURUTHY, THIRUVALLA,PIN: 689 101",,,,,,, , JACOB -9562704433,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Angamaly - ANGAMALYPITTAPPILLIL AGENCIES-DIGIPARK, OPP: MADONA HOSPITAL, ANGAMALY, PIN: 683 572",,,,,,," 0484-2457033, 8606967118", MARTIN T V -9847937402,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Angamaly [shop 2] - ANGAMALYPITTAPPILLIL AGENCIES, TB JN, ANGAMALY, PIN: 683 572",,,,,,," 0484 2619204, 8606967111", SHIBU -9446009881,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES-DIGIPARK - THRISSURPERUMBILLY MARIA COMPLEX, NEAR ST.JOSEPH CHURCH, KURIYACHIRA, THRISSUR, PIN: 680 555",,,,,,," 0487-2252322, 8606967119", SHIJO VARGHESE -9446261056,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - THRISSURPITTAPPILLIL PLAZA, NEAR VIMALANATHA CHURCH, THRISSUR-PALAGAT ROAD, PARAVATTANI, THRISSUR, PIN: 680",,,,,,," 0487 2444771, 8606967123", Thomas vj,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES DIGIPARK - KODUNGALLURNEAR ASHOKA THEATRE, SRINGAPURAM, KODUNGALLUR, PIN: 680 664",,,,,,," 0480 2803268, 8606967120", DAYALU -9495999505,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL - Ernakulam,Chitoor - COCHINPITTAPPILLIL AGENCIES, CHITOOR ROAD, ERNAKULAM, PIN: 682 016",,,,,,," 0484 2373868, 9446009877", RAJESH -9895011160,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
,TV,Consumer Electronics,,PITTAPPILLIL,,"PITTAPPILLIL AGENCIES - PARAVURANUGRAHA SHOPPING COMPLEX, OPPOSITE T.B MAIN ROAD, N PARAVUR, PIN: 683 513",,,,,,," 0484 2445484, 8606967120", THOMSON -8138807608,,,,https://pittappillilonline.com/BranchLocator.aspx,,,,,,,,,
