BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,QRS,,"Karamana
QRS Retail Limited
Thilagaraj
Karamana
Thiruvananthapuram -695 002
Kerala, India.",,Thiruvananthapuram,,Kerala,695 002,India,"- 91-471- 2349522,23,24,25
","Ravi
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"M G Road
QRS Retail Limited
Opp. Raymond Retail Shop
QRS Building, M.G.Road
Thiruvananthapuram - 680 001",,Thiruvananthapuram,,Kerala,680 001,India," 91-471-2462996, 2997,9797","V P Harikrishnan
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Pattom
QRS Retail Limited
Ramachandra Towers
Plamoodu
Down hill
Thiruvananthapuram - 695 004",,Thiruvananthapuram,,Kerala,695 004,India,"91-471-2729797, 2729798",Padmakumar,,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Attingal
QRS Retail Limited
First floor, MM mall
Above Bhima Jewelry, LMS Junction
Trivandrum Road
Attingal,Thiruvananthapuram - 695 101

",,Thiruvananthapuram,,Kerala,695 101,India," 91-470-2623996,0470-2624996",Jothi Basu,,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Nemom
QRS Retail Limited
49/2577-1,2,3,4
Nemom Jn, Nemom PO,
Thiruvananthapuram – 695020

",,Thiruvananthapuram,,Kerala,695020,India," 91-471-2390097, 98
","Hari Kumar
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Sreekaryam
QRS RETAIL LTD
QRS Super Centre
Sree Dhanya Planet X
Sreekaryam
Thiruvananthapuram 695017",,Thiruvananthapuram,,Kerala,,India,"0471-2598667, 2598668","Jayasankar K M
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Nedumangadu
QRS Retail Ltd

XII/627 - 18,19,
SM PLAZA

Kulavikonam,

Nedumangadu

Kerala",,Nedumangadu,,Kerala,,India,"9656255664
","Lourthu Gabriel
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Residency Road
QRS Retail Limited
Twins Building
Residency Road, Kollam - 686 001",,,,Kerala,686 001,India,"91-474-2745925, 2745935
"," Ratheesh 
",,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"Kottarakara
QRS RETAIL LTD
532 A,B,C, B & B Tower 
TVM Road
Pulsmon P.O,
Kottarakkara -691531",,,,,691531,India," 91-474-2459543, 2453707", Selvan,,,,https://qrs.in/pages/store,,,,,,,,,
,TV,Consumer Electronics,,QRS,,"T K Road
QRS Retail Limited
Alumootil Plaza
T.K.Road
Pathanamthitta - 689645",,Pathanamthitta,,Kerala,689645,India," 91-468-2270225, 2320019,9847456525", Kalyanasundaram,,,,https://qrs.in/pages/store,,,,,,,,,
